first_word	n	median_within_consistency	dominant_quadrant	HP-D_n	HP-S_n	LP_n	NP_n	HN-D_n	HN-S_n	LN_n	NB_n	HB_n
(╥﹏╥)	33	0.9801650047302246	HN-D	0	1	0	0	19	9	0	0	4
(๑・̀ㅂ・́)	5	0.9796129465103149	LP	0	0	5	0	0	0	0	0	0
(˃⌑˂)	5	0.979559063911438	LN	0	0	0	0	1	0	3	0	1
(;′⌒`)	23	0.978785514831543	HN-S	0	0	0	0	4	14	5	0	0
(・̀ω・́)	5	0.9782417416572571	NB	0	0	0	0	0	1	0	4	0
(⊃｡・́‿・̀｡)	4	0.9781861901283264	HP-S	0	3	0	0	0	0	0	1	0
(⌐■_■)	5	0.9776431918144226	NB	0	0	0	0	0	0	0	5	0
(´▽`ʃ♡ƪ)	7	0.9772035479545593	LP	0	0	5	1	0	0	0	1	0
(°ロ°)	6	0.9766983389854431	HN-S	1	0	0	1	0	3	0	0	1
(╥_╥)	34	0.9761720895767212	HN-D	1	0	0	0	18	3	8	0	4
(๑><๑)	5	0.9760993719100952	LP	0	0	3	2	0	0	0	0	0
(｡♥‿♥｡)	8	0.9760937094688416	LP	0	0	5	3	0	0	0	0	0
(・∀・)	13	0.9758886694908142	NB	1	0	0	0	0	0	0	12	0
(・_・)	8	0.9757025241851807	NB	1	0	0	0	0	0	0	6	1
(>_<)	47	0.9755629301071167	HN-S	0	0	2	5	3	30	2	0	5
(˘ω˘)	3	0.9755160808563232	NB	0	0	1	0	0	0	0	2	0
(>﹏<)	16	0.9755103588104248	HN-S	0	0	0	0	4	12	0	0	0
(人*´∇	3	0.975456178188324	NP	0	0	0	2	0	0	0	1	0
(・‿・)	3	0.9751520752906799	NB	0	0	1	0	0	0	0	2	0
(^・ω・^)	3	0.9746031761169434	NP	0	0	1	2	0	0	0	0	0
(￣▽￣)	4	0.974532961845398	NB	0	0	1	0	0	0	0	3	0
(๑>‿<๑)	6	0.9744299650192261	LP	1	0	4	1	0	0	0	0	0
(;´༎ຶд༎ຶ`)	12	0.9740287065505981	LN	0	0	0	0	0	5	7	0	0
(・̀‿・́)	10	0.9740021228790283	NB	0	0	0	0	0	0	0	10	0
(◕‿◕)	10	0.9738154411315918	NB	1	0	0	0	0	0	0	9	0
(=^・ω・^=)	17	0.9736568927764893	LP	2	0	11	2	0	0	0	2	0
(¬‿¬)	56	0.9728679656982422	HP-D	35	0	0	1	0	0	2	8	10
(¬_¬)	95	0.9728439450263977	HB	23	0	0	0	9	0	1	4	58
(^_−)	5	0.9728347659111023	NB	0	0	1	2	0	0	0	2	0
(・ω・)	9	0.9714545011520386	NB	2	0	1	0	0	0	0	6	0
(‿‿‿)	5	0.9714178442955017	HP-D	3	0	0	1	0	0	0	0	1
(꒪ꇴ꒪)	5	0.9714143872261047	HN-S	0	0	0	1	1	2	0	0	1
(✿◠‿◠)	12	0.9696054458618164	LP	3	1	6	2	0	0	0	0	0
(⊙_⊙;)	17	0.9693236947059631	HN-S	1	2	0	1	3	5	0	0	5
(◕‿◕�	10	0.9693230390548706	NP	4	0	0	4	0	0	0	1	1
(^_^;)	6	0.9670524597167969	HB	1	0	0	0	0	0	0	2	3
(≧‿≦)	64	0.9666929244995117	HP-S	8	19	18	15	0	0	0	4	0
(´｡・‿・｡`)	14	0.9665632247924805	NP	0	0	6	7	0	0	0	1	0
(⁄	24	0.9663327932357788	HP-D	12	3	4	5	0	0	0	0	0
(≧▽≦)	51	0.96529620885849	NP	13	14	3	19	0	0	0	2	0
(・_・;)	38	0.9640616178512573	HB	1	0	0	0	0	8	1	12	16
(・_・ヾ	7	0.9635941982269287	NB	2	0	0	0	0	1	0	2	2
(˘³˘)	39	0.9620307683944702	LP	6	0	17	4	0	1	1	9	1
(◕‿◕✿)	45	0.9601152539253235	LP	10	5	12	10	0	0	0	8	0
(´・ω・`)	69	0.9588828086853027	LP	1	0	20	7	0	6	7	20	8
