run_index	quadrant	n	n_unique_faces	non_emission_rate	modal_face	modal_count	modal_share	top5_faces	top5_counts
6	HN-S	19	13	0.000	(╯°□°)	3	0.158	(╯°□°)|(╬Ò﹏Ó)|(｡・́︿・̀｡)|(°□°;)|(｡・́︵・̀｡)	3|3|2|2|1
6	HP	17	12	0.059	(ノ◕ヮ◕)	5	0.294	(ノ◕ヮ◕)|(｡♥‿♥｡)|(★≧▽^)|(ﾉ◕ヮ◕)|(◕‿◕)	5|2|1|1|1
6	HP-D	20	9	0.000	(¬‿¬)	8	0.400	(¬‿¬)|(≧▽≦)|(｡◕‿◕｡)|(◕‿◕✿)|(・_・;)	8|2|2|2|2
6	LN	20	8	0.000	(´;ω;`)	5	0.250	(´;ω;`)|(´・_・`)|(´-`)|(´｡・‿・｡`)|(｡・́︿・̀｡)	5|4|4|2|2
6	LP	19	16	0.000	(｡◕‿◕｡)	2	0.105	(｡◕‿◕｡)|(◕‿◕✿)|(´｡・‿・｡`)|(´｡・ω・｡`)|(｡˘³˘)	2|2|2|1|1
6	NB	18	13	0.000	(・_・;)	3	0.167	(・_・;)|(・ω・)|(´▽`)|(¬‿¬)|(・_・ヾ	3|2|2|2|1
6	NP	20	16	0.000	(◕‿◕)	4	0.200	(◕‿◕)|(‿‿‿✿)|(✿◕‿◕)|(˘̩╭╮˘̩)|(ﾉ´∽`)	4|2|1|1|1
7	HB	20	9	0.000	(・_・;)	5	0.250	(・_・;)|(¬_¬)|(╯°□°)|(・_・ヾ|(⊙_⊙;)	5|4|2|2|2
7	HN-S	19	11	0.000	(╯°□°)	5	0.263	(╯°□°)|(｡・́︿・̀｡)|(((;°д°)))|(°□°;)|(´∩ω∩`)	5|3|2|2|1
7	HP	17	10	0.059	＼(≧▽≦)	4	0.235	＼(≧▽≦)|(ノ◕ヮ◕)|(｡♥‿♥｡)|(♡‿♡)|(｡・̀‿-)	4|4|2|1|1
7	HP-D	20	12	0.000	(¬‿¬)	8	0.400	(¬‿¬)|(｡◕‿◕｡)|(◕‿◕✿)|(≖‿≖✿)|(¬_¬)	8|2|1|1|1
7	LP	19	9	0.000	(｡◕‿◕｡)	4	0.211	(｡◕‿◕｡)|(´▽`)|(◕‿◕)|(´｡・‿・｡`)|(｡-ω-)	4|4|3|2|2
7	NB	18	13	0.000	(・ω・)	4	0.222	(・ω・)|(・_・;)|(・_・)|(｡◕‿◕｡)|(｡・́‿・̀｡)	4|2|2|1|1
7	NP	20	14	0.000	(◕‿◕✿)	3	0.150	(◕‿◕✿)|(◕‿◕)|(¬‿¬)|(｡・́︿・̀｡)|(✿◕‿◕)	3|3|2|2|1
