face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
(=^-ω-^=)	34	9	HB,HN-D,HN-S,HP-D,HP-S,LN,LP,NB,NP	HB:3; HN-D:3; HN-S:4; HP-D:5; HP-S:4; LN:3; LP:3; NB:6; NP:3	0.5	0.03711348095126026	0.17647058823529413	0.23737373737373738	True	
(ﾟдﾟ)	26	4	HN-D,HN-S,HP-S,LN	HN-D:11; HN-S:9; HP-S:3; LN:3	0.6944444444444445	0.09886183566695658	0.4230769230769231	0.5428240740740738	True	
(╥﹏╥)	25	3	HN-D,HN-S,LN	HN-D:11; HN-S:9; LN:5	0.72	0.20396078054371142	0.44	0.52	True	
(^-^)	24	4	HB,LP,NB,NP	HB:3; LP:4; NB:12; NP:5	0.6666666666666666	0.05892556509887896	0.5	0.5	True	
(˘³˘)	24	3	HN-D,LN,LP	HN-D:4; LN:12; LP:8	0.7916666666666666	0.13819269959814168	0.5	0.5833333333333333	True	
(^_^)	21	4	HP-S,LP,NB,NP	HP-S:3; LP:4; NB:8; NP:6	0.6190476190476191	0.0673435029701474	0.38095238095238093	0.4761904761904761	True	
(´艸`)	21	3	HN-D,HN-S,LN	HN-D:7; HN-S:5; LN:9	0.85	0.1224744871391589	0.42857142857142855	0.5074999999999998	True	
(⌒‿⌒)	19	4	HP-D,LP,NB,NP	HP-D:3; LP:6; NB:6; NP:4	0.746031746031746	0.12346308877860357	0.3157894736842105	0.45912698412698394	True	
(^▽^)	18	4	HP-D,HP-S,NB,NP	HP-D:4; HP-S:4; NB:6; NP:4	0.95	0.08660254037844385	0.3333333333333333	0.41499999999999987	True	
(⁀ᗜ⁀)	18	4	HB,HN-S,HP-S,LN	HB:4; HN-S:5; HP-S:3; LN:6	0.5555555555555555	0.0785674201318386	0.3333333333333333	0.41944444444444423	True	
(╥_╥)	15	3	HN-D,HN-S,LN	HN-D:7; HN-S:5; LN:3	0.6	0.16329931618554522	0.4666666666666667	0.5333333333333333	True	
(✿╹‿╹)	14	3	HP-D,LP,NB	HP-D:3; LP:5; NB:6	0.5833333333333334	0.14337208778404376	0.42857142857142855	0.5833333333333334	False	
(≧▽≦)	11	2	HP-S,NP	HP-S:5; NP:6	0.7333333333333333	0.2260776661041756	0.5454545454545454	0.7549999999999997	False	
(ᵒ̌ᴥᵒ̌)	10	2	HB,LN	HB:4; LN:6	0.5833333333333333	0.08333333333333331	0.6	0.5833333333333333	False	
(ﾟ∀ﾟ)	10	3	HB,HP-D,HP-S	HB:4; HP-D:3; HP-S:3	0.8055555555555555	0.14163943093313291	0.4	0.598611111111111	True	
(ﾉ◕ヮ◕)	8	2	HP-S,NP	HP-S:4; NP:4	1.0	0.0	0.5	0.8874999999999993	True	
(⁎˃‿˂⁎)	7	2	LP,NP	LP:3; NP:4	0.5555555555555555	0.0785674201318386	0.5714285714285714	0.5555555555555555	False	
(ᵔㅅᵔ)	6	2	HN-D,HP-D	HN-D:3; HP-D:3	1.0	0.0	0.5	1.0	False	
