first_word	n	median_within_consistency	dominant_quadrant	HP-D_n	HP-S_n	LP_n	NP_n	HN-D_n	HN-S_n	LN_n	NB_n	HB_n
(＾∇＾)	6	0.9956289529800415	NP	0	1	1	2	0	0	0	0	2
(≧▽≦)	18	0.9956257939338684	NP	1	5	2	6	1	1	0	1	1
(ᵒ̌ᵗᵒ̌)	4	0.9956101179122925	HN-S	0	1	0	0	0	2	1	0	0
(・̀‿・́)	62	0.9956023693084717	HN-D	8	8	7	3	10	6	5	5	10
(´∇`)	5	0.995602011680603	HB	0	1	0	0	0	0	1	1	2
(✿◕‿◕)	8	0.9955477714538574	HP-D	4	0	0	0	0	0	1	1	2
(⌒‿⌒)	21	0.9955469965934753	LP	3	1	6	4	0	0	0	6	1
(≧‿≦)	103	0.9954431653022766	HP-S	13	17	14	11	12	10	2	9	15
(✿◠‿◠)	89	0.9954379796981812	HP-S	7	27	14	20	0	2	4	10	5
(=^・ω・^=)	10	0.9953655004501343	NB	2	0	2	0	1	0	1	3	1
(⌒_⌒;)	5	0.9953562617301941	LN	0	0	1	0	0	1	2	1	0
(⊙_◎)	3	0.9943075180053711	HN-S	0	0	0	0	0	2	1	0	0
(ﾟ∀ﾟ)	15	0.993523120880127	HB	3	3	2	0	0	1	0	2	4
(◕‿◕)	7	0.9934986233711243	HP-S	2	3	0	1	0	0	1	0	0
