first_word	n_emit	claude_emit	category	surface	bol_quadrant	gt_quadrant	bol_share_HP-D	bol_share_HP-S	bol_share_LP	bol_share_NP	bol_share_HN-D	bol_share_HN-S	bol_share_LN	bol_share_NB	bol_share_HB	gt_share_HP-D	gt_share_HP-S	gt_share_LP	gt_share_NP	gt_share_HN-D	gt_share_HN-S	gt_share_LN	gt_share_NB	gt_share_HB
(¬_¬)	62	20	shared	claude_code	HB	HB	0.0	0.0484	0.0	0.2097	0.2258	0.0	0.0	0.1452	0.371	0.1176	0.0	0.0	0.0	0.0	0.0	0.0	0.0588	0.8235
(´▽`)	58	48	shared	claude_ai	NP	LP	0.0	0.1034	0.0	0.8966	0.0	0.0	0.0	0.0	0.0	0.0	0.0833	0.5417	0.1667	0.0	0.0	0.0	0.2083	0.0
(◕ω◕)	56	54	wild_claude	claude_ai	NP		0.0	0.4821	0.0	0.5	0.0	0.0	0.0	0.0179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(✿◠‿◠)	56	52	wild_claude	claude_code	HP-S		0.0	0.5085	0.0	0.4915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(`_´)	52	0	wild_other	other	HN-S		0.0	0.0	0.0	0.137	0.0	0.2877	0.2877	0.0	0.2877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(╯°□°)	52	42	shared	claude_ai	HP-S	HN-D	0.0	0.7308	0.0	0.0769	0.0192	0.0192	0.0	0.1538	0.0	0.0	0.0	0.0	0.0778	0.3778	0.3556	0.0	0.0	0.1889
(°ロ°)	50	48	shared	claude_ai	HN-D	HN-S	0.0	0.0	0.0196	0.0392	0.4706	0.0	0.0	0.0	0.4706	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
(´・_・`)	46	42	shared	claude_ai	HB	LN	0.0	0.0	0.0	0.0	0.0435	0.0	0.4565	0.0	0.5	0.0312	0.0	0.0	0.0	0.0	0.25	0.625	0.0938	0.0
(´｡・ω・｡`)	46	36	shared	claude_code	NP	LN	0.0	0.1176	0.098	0.7843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.1111	0.0	0.0	0.3333	0.1111	0.1111
(ง'̀-'́)	44	0	wild_other	other	LP		0.0	0.0	0.4773	0.4773	0.0	0.0	0.0	0.0227	0.0227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(✿◕‿◕)	43	41	shared	claude_code	HP-S	NP	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(￣▽￣)	42	34	wild_claude	claude_ai	NP		0.0714	0.4524	0.0	0.4762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⌐■_■)	42	36	wild_claude	claude_ai	HP-S		0.0	0.2708	0.0	0.2708	0.0417	0.0417	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(‿‿‿)	42	42	shared	claude_code	NP	LP	0.0	0.0	0.3333	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(◕▽◕)	40	40	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡◕‿◕｡)	40	36	shared	claude_ai	HP-S	LP	0.0476	0.5238	0.4048	0.0238	0.0	0.0	0.0	0.0	0.0	0.4054	0.0	0.5135	0.0	0.0	0.0	0.0	0.0811	0.0
(｡・ω・｡)	40	34	shared	claude_ai	NP	LP	0.0	0.0	0.0	0.85	0.075	0.0	0.075	0.0	0.0	0.0	0.0	0.6562	0.0	0.0	0.0	0.0	0.3438	0.0
(=^・ω・^=)	38	24	wild_claude	claude_code	HP-S		0.0526	0.7105	0.0	0.1579	0.0	0.0	0.0	0.0789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˘ω˘)	38	34	shared	claude_ai	NP	LP	0.0	0.45	0.05	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.3333	0.0	0.0	0.0	0.0	0.0
(ﾉ◕ヮ◕)	38	28	shared	claude_code	NP	HP-S	0.0	0.4737	0.0	0.5263	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´ω`)	36	36	shared	claude_code	NP	LP	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̀ω・́)	36	28	wild_claude	claude_ai	HB		0.0	0.1667	0.0278	0.0	0.0	0.0	0.0	0.0278	0.7778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´;ω;`)	34	34	shared	claude_code	HB	LN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0952	0.0	0.119	0.7857	0.0	0.0
(´-`)	34	34	shared	claude_ai	HP-S	LN	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0577	0.9423	0.0	0.0
(´-ω-`)	33	33	shared	claude_ai	NP	LN	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111	0.6667	0.2222	0.0
(￣ー￣)	32	26	wild_claude	claude_code	NB		0.0	0.1562	0.0312	0.25	0.0	0.0	0.0	0.5625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ಠ_ಠ)	30	2	wild_claude	claude_code	HN-S		0.0	0.0	0.0312	0.1562	0.0	0.8125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡♥‿♥｡)	28	26	shared	claude_code	NP	LP	0.0	0.0357	0.0	0.9643	0.0	0.0	0.0	0.0	0.0	0.1163	0.186	0.3023	0.2791	0.0	0.0	0.0	0.1163	0.0
(✧ω✧)	27	27	wild_claude	claude_ai	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(눈_눈)	26	22	shared	claude_code	HB	HB	0.0	0.0	0.0	0.0769	0.0	0.0385	0.0	0.1538	0.7308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
(＾∇＾)	26	24	wild_claude	claude_ai	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;・∀・)	24	16	shared	claude_ai	LN	HN-S	0.3333	0.0	0.0	0.0	0.0417	0.0	0.375	0.25	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0
(｡・́‿・̀｡)	22	22	shared	claude_ai	NP	NB	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.2	0.0	0.0	0.0	0.4	0.0
(;´д`)	22	16	shared	claude_code	NP	HN-S	0.0	0.0	0.0	0.7273	0.1364	0.0	0.0	0.0	0.1364	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
(￣ω￣)	20	18	wild_claude	claude_code	NP		0.0	0.15	0.0	0.5	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⊙_⊙)	20	18	wild_claude	claude_ai	NP		0.05	0.4	0.0	0.45	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;￣д￣)	18	16	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.1111	0.4444	0.0	0.0	0.0	0.4444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˘・_・˘)	18	12	wild_claude	claude_ai	HP-S		0.0	0.3333	0.0	0.3333	0.0	0.0	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(‿‿‿✿)	18	14	shared	claude_code	NB	NP	0.0	0.1111	0.0	0.1111	0.0	0.0	0.0	0.7778	0.0	0.0	0.0	0.3333	0.6667	0.0	0.0	0.0	0.0	0.0
(≧▽≦)	18	14	shared	claude_code	HP-S	HP-D	0.0	0.5556	0.0	0.4444	0.0	0.0	0.0	0.0	0.0	0.6296	0.3704	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◕‿◕✨)	18	18	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◞‸◟)	18	18	shared	claude_code	NP	NP	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ʕ・ᴥ・ʔ	18	18	shared	claude_code	HP-S	LP	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(◜‿◝)	16	14	wild_claude	claude_ai	NP		0.0	0.0	0.0	0.8235	0.0588	0.0588	0.0588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣ヘ￣;)	16	14	shared	claude_code	HP-S	NB	0.0	0.5	0.0625	0.4375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
(๑˃‿˂)	16	16	shared	claude_code	HP-S	NP	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(ᵔᴥᵔ)	16	12	wild_claude	claude_code	NP		0.125	0.375	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´・‿・`)	15	15	wild_claude	claude_code	NP		0.0	0.0	0.3333	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˃‿˂)	14	12	wild_claude	claude_ai	HP-S		0.0	0.9286	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˶ᵔ‿ᵔ˶)	14	14	wild_claude	claude_ai	LP		0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ᵔ‿ᵔ)	14	4	wild_claude	claude_code	NP		0.0	0.4286	0.0	0.5714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(╭ರ_・́)	14	12	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣~￣;)	14	12	wild_claude	claude_code	NP		0.0	0.0	0.0714	0.5	0.0	0.0	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡◕‿‿◕｡)	12	8	shared	claude_ai	HP-S	HP-D	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣ヘ￣)	12	10	shared	claude_ai	HB	NB	0.0	0.0	0.0	0.1667	0.0	0.0	0.0	0.0	0.8333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
(ﾟ▽ﾟ)	12	10	wild_claude	claude_code	NP		0.0833	0.0833	0.0	0.8333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡・́︿・̀｡)	12	12	shared	claude_ai	NP	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0333	0.0667	0.0333	0.1667	0.0167	0.4333	0.1667	0.0	0.0833
(⊙‿⊙)	12	12	wild_claude	claude_ai	HP-S		0.4167	0.5	0.0	0.0833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̀ㅂ・́)	12	10	wild_claude	claude_code	NP		0.0833	0.0833	0.0	0.4167	0.0	0.0	0.0	0.4167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ノ◕ヮ◕)	12	10	shared	claude_code	HP-S	HP-S	0.0	0.6875	0.0	0.3125	0.0	0.0	0.0	0.0	0.0	0.0	0.8919	0.0	0.1081	0.0	0.0	0.0	0.0	0.0
(°▽°)	12	10	shared	claude_ai	HP-S	HP-S	0.0	0.8333	0.0833	0.0833	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.3333	0.0	0.0	0.0	0.0	0.0
(灬°‿°灬)	10	10	shared	claude_ai	NP	LP	0.0	0.0	0.3333	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ω・`)	10	8	wild_claude	claude_ai	NP		0.0	0.4	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(╹ω╹)	10	8	wild_claude	claude_ai	HB		0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣^￣)	10	0	wild_other	other	HB		0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
＼(^	10	8	wild_claude	claude_code	HP-S		0.0	0.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◕ω◕✨)	10	10	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´・ω・)	10	8	wild_claude	claude_ai	NP		0.0	0.4	0.0	0.5	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(╯✧∇✧)	10	8	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(งᵒ̌皿ᵒ̌)	10	8	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>‿<)	10	10	wild_claude	claude_ai	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´ω`	10	10	wild_claude	claude_code	LP		0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(╥﹏╥)	10	10	shared	claude_code	LN	HN-S	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0769	0.0	0.0	0.0	0.9231	0.0	0.0	0.0
(´∀`;)	9	7	wild_claude	claude_ai	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◕ヮ◕)	8	6	wild_claude	claude_code	NP		0.0	0.125	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣ω￣;)	8	8	shared	claude_code	HP-D	NP	0.75	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(￣^￣ゞ	8	8	wild_claude	claude_code	LP		0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡・̀‿・́｡)	8	8	wild_claude	claude_ai	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・́⌓・̀)	8	8	wild_claude	claude_code	HB		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・_・?)	8	8	shared	claude_ai	HB	NB	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8824	0.1176
(◠‿◠✿)	8	8	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ε・)	8	6	wild_claude	claude_code	NP		0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⊙ω⊙)	8	6	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˶˃‿˂˶)	8	8	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´ー`)	8	8	wild_claude	claude_ai	LP		0.0	0.125	0.375	0.125	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°ヮ°)	8	8	wild_claude	claude_ai	NB		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°□°)	8	6	wild_claude	claude_code	HP-S		0.0	0.375	0.0	0.375	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>∀<☆)	8	8	shared	claude_code	HP-S	HP-S	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.8571	0.0	0.1429	0.0	0.0	0.0	0.0	0.0
(˶ˆᗜˆ˵)	8	6	wild_claude	claude_ai	LP		0.0	0.1111	0.5556	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・∀・;)	6	4	wild_claude	claude_code	HP-S		0.0	0.3333	0.0	0.3333	0.0	0.0	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◕‿◕｡)	6	6	shared	claude_ai	LP	NP	0.0	0.0	0.6667	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.6667	0.0	0.0	0.0	0.0	0.0
(・	6	4	wild_claude	claude_code	HB		0.1667	0.0	0.0	0.0	0.1667	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̀ㅁ・́;)	6	4	wild_claude	claude_code	HB		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・́︵・̀)	6	4	wild_claude	claude_code	LP		0.0	0.0	0.3333	0.3333	0.1667	0.0	0.0	0.0	0.1667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡╹ω╹｡)	6	6	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・﹏・)	6	6	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡´꒳`｡)	6	6	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ﾉωﾉ)	6	6	wild_claude	claude_code	HP-D		0.3333	0.0	0.3333	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ﾟーﾟ)	6	4	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ʕっ・ᴥ・ʔ	6	6	wild_claude	claude_code	LP		0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⊡-⊡)و	6	4	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◎_◎;)	6	6	shared	claude_code	HB	NP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0
(・̀‿-)	6	6	wild_claude	claude_code	LP		0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(≧ω≦)	6	4	wild_claude	claude_code	HP-S		0.0	0.8333	0.0	0.1667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´°ω°`)	6	4	wild_claude	claude_code	HP-S		0.4	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(	6	4	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(/▽＼)	6	6	wild_claude	claude_code	NP		0.0	0.3333	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(=⌒‿‿⌒=)	6	4	wild_claude	claude_code	HP-S		0.0	0.6667	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>ω<)	6	4	wild_claude	claude_code	HP-S		0.0	0.5	0.3333	0.1667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(¬_¬;)	6	6	shared	claude_ai	HB	HB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9333
(>_<)	6	6	shared	claude_code	NB	HN-S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
